医療機関名,住所,予約受付番号,受付_Web,受付_来院,受付_電話,受付_電話_曜日,受付_電話_時間,受付_電話_備考,受入_一般の方,受入_かかりつけの方,受入_妊婦,受入_こども_対象年齢,経度,緯度,URL,自由記入欄,ファイザー実施機関,モデルナ実施機関,ファイザー製ワクチン予約空き情報,モデルナ製ワクチン予約空き情報
金田クリニック,大阪市港区港晴3-17-10,06-6571-2932,,1,1,,診療時間内,同院にて接種した方の3回目接種対応,,1,,,135.4422052,34.65725716,http://minato-med.or.jp/clinic/kaneda.html,,1,,,
医療法人宏仁会　奥村耳鼻咽喉科,大阪市港区市岡1-5-28,06-6571-3387,,1,1,,診療時間内,前回当院で接種した方を優先,,1,1,,135.4618275,34.66447883,https://okumura-ent.jp/,,1,,,
谷内医院,大阪市港区三先2-9-19,06-6571-3467,,1,1,,,,,1,1,12歳,135.4515029,34.6595965,http://minato-med.or.jp/clinic/taniuchi.html,,1,,,
医療法人ゆうあい会　宮岡クリニック,大阪市港区市岡1-14-16,06-6571-3506,,1,1,①月・火・木・金 ②土,①9:00～12:00 16:00～19:00 ②9:00～12:00,,,1,1,12歳,135.4611565,34.66385439,https://www.miyaoka-cl.com/,,1,,,
医療法人喜多クリニック　弁天町クリニック,大阪市港区弁天1丁目3番3号クロスシティ弁天町2階,06-6571-8070,,1,1,月・火・水・金,14:00～16:45,,,1,1,12歳,135.461382,34.6683478,https://bentencho-clinic.com/,,1,,,
医療法人　浅井内科医院,大阪市港区夕凪1-11-23,06-6572-9120,,,1,月～土,9:00～12:00,,,1,,,135.4534308,34.6636111,http://www.minato-med.or.jp/clinic/asainaika.html,,1,,,
澤田内科クリニック,大阪市港区磯路1丁目6-14,090-6296-7830,,,1,月～金,診療時間内,かかりつけのみ,,1,,16歳,135.4618772,34.66748192,http://www.sawadaclinic.com/,,1,,01予約不可能,
金山記念クリニック,大阪市港区港晴1-2-12,06-6573-6163,,1,,,9:00～11:30 16:00～18:30,電話は問い合わせのみ。予約用の整理券必要,1,1,,,135.4437948,34.65676747,http://www.minato-med.or.jp/clinic/kanayama.html,,1,,,
医療法人三愛会　中山整形外科,大阪市港区弁天4-5-3,06-6573-9585,,,1,月～金,13:30～20:00,,1,,,12歳,135.4595957,34.6709825,http://www.minato-med.or.jp/clinic/nakayama.html,,1,,,
北村医院,大阪市港区港晴2-4-4,,,1,,,,,,1,,,135.4432832,34.65558232,http://www.minato-med.or.jp/clinic/kitamura.html,,1,,,
義元診療所,大阪市港区夕凪2-17-9,06-6574-2841,,,1,,,,,1,,,135.451366,34.66078982,,,1,,,
医療法人尚信会　整形外科河村医院,大阪市港区三先1-10-30,,,1,,,,,,1,1,12歳,135.454576,34.66160615,https://www.kawamura-hp.jp/,,1,,,
医療法人　喜馬外科,大阪市港区三先1-17-43,06-6576-2323,,,1,月～金,13:00～17:00,,,1,,,135.4543957,34.65932086,http://www.kibageka.com/,,1,,,
社会福祉法人秀生会　ザイオン大阪港クリニック,大阪市港区築港1丁目9番7号,06-6576-8802,,,1,月・水・木・金・土,16:00～17:00,祝日除く,1,,1,16歳,135.4363689,34.65341863,,,1,,,
医療法人　西診療所,大阪市港区弁天1-2-2-600,,,1,,,,,,1,,,135.4610742,34.66994639,https://www.nishi-shinryosho.com/,,1,,,
野洲クリニック,大阪市港区夕凪2-17-14　辻産業夕凪ビル2階,06-6577-7756,,1,1,月・火・水・金,11:00～12:20 16:30～18:20,,1,1,1,12歳,135.4516327,34.66097237,http://www.yasuclinic.jp/,当院かかりつけで接種歴有の方は予約可,1,,03予約可能,
医療法人仁生会　内藤病院,大阪市西区九条1-15-23,06-6581-0085,,,1,,9:30～12:00 14:00～16:30,,1,,1,16歳,135.4759396,34.67482385,http://naitou-hp.or.jp/index.html,,1,,,
医療法人　前田診療所,大阪市港区波除2-6-2,06-6581-1248 ,,,1,月～金,9:00～20:00,,,1,,,135.4650618,34.67047514,https://maeda-shinryousyo.com/,,1,,,
鈴木診療所　内科・小児科・リハビリ科,大阪市西成区玉出中2-15-21　HKビル3階,06-6656-2103,,,1,水曜を除く,9:30～12:30 16:00～18:30,,1,1,1,12歳,135.4908126,34.62468867,https://nishinari-med.or.jp/search/doc_info/area08_07.htm,,1,,,
医療法人　生野内科クリニック,大阪市港区波除2-9-12,06-6581-4181,,,1,①月・火・水・金 ②木・土,①9:00～12:30　16:30～19:00 ②9:00～12:30,,1,1,1,12歳,135.4635124,34.67145266,http://www.minato-med.or.jp/clinic/ikuno.html,,1,1,03予約可能,
勝瀬クリニック,大阪市西区九条1-12-3,06-6581-6059,,1,1,①月～金 ②土,①10:00～13:00 16:00～19:00 ②9:00～12:00,,,1,1,,135.4763656,34.67497513,,,1,,,
医療法人優彩会　整形外科おうクリニック,大阪市西区九条1-14-3　新道ハイツ1階,06-6581-8800,,1,1,,診療時間内,,1,,,,135.4751123,34.6747755,http://www.oh-clinic.com/,,1,,03予約可能,
下條内科クリニック,大阪市西区本田3-5-24,,,1,,,,通院患者のみ,,1,,,135.4747341,34.67821664,http://shimojo.a.la9.jp/,,1,,,
増田小児科医院,大阪市東成区神路4-5-9,06-6976-3171,,,1,,,,1,,1,12歳,135.5546544,34.66986299,,,1,,,
坂井医院,大阪市西区九条1-6-14　レジデンス九条2階,06-6582-7800,,1,1,①月・火・木・金 ②水・土,①9:15～12:30 16:00～19:00 ②9:15～12:30,,,1,,12歳,135.4750046,34.67575514,https://sakaicl.net/,,1,,,
医療法人　賴医院,大阪市港区波除3-7-12　スカイアット弁天,06-6584-8782,,1,1,,,,,1,,,135.4617602,34.67171511,http://www.minato-med.or.jp/clinic/rai.html,,1,,,
社会福祉法人仁景会　すみれ苑医務室診療所,大阪市西区川口三丁目6番14号,06-6585-1660,,,1,平日,10:00～15:00,,,1,,12歳,135.4775696,34.68141101,https://sumire-en.jp/clinic/,,1,,,
医療法人佐々木会　佐々木内科クリニック,大阪市西区九条南2-2-21　NTT西ビル1階,06-6585-2373,,,1,月・木 ,14:30～16:30 ,,,1,1,12歳,135.4746092,34.6728503,https://www.sasaki-medical-clinic.info/,,1,,,
医療法人　トキワクリニック,大阪市阿倍野区旭町1-1-17　サンビル阿倍野2階,06-6585-7706,,,1,,,,,1,,,135.5104127,34.64750092,https://www.tokiwa-clinic-osaka.com/,,1,,,
じっしょう内科,大阪市西区本田2-1-2,,1,,,,,予約はメールのみ(当院HP参照),1,1,1,12歳,135.4797997,34.67913255,https://jissho.net/,,1,,03予約可能,
医療法人信和会　塩見医院,大阪市港区市岡元町2-11-4,,,1,,月～金,10:00～12:00,予約時に接種券・現住所確認資料持参,,1,,16歳,135.4680272,34.66728621,http://www.minato-med.or.jp/clinic/siomi.html,,1,,,
医療法人隆明会　やぎクリニック,大阪市港区八幡屋1-11-10　シカタビル2階,06-6599-1131,,,1,①月・火・木・金 ②土,①9:00～12:00 14:30～17:30 ②9:00～12:00,,1,1,1,12歳,135.4461945,34.6575727,http://www.yagiclinic.com/yagiclinic/index.html,,1,,,
佐竹医院,大阪市住吉区沢之町1-1-4,06-6606-3066,,,1,火・金,14:00～15:00,,,1,,16歳,135.4998637,34.60466649,,,1,,,
医療法人 金子外科,大阪市東住吉区東田辺2-27-8,06-6607-5225,,,1,,診療時間内,来院予約不可,,1,,16歳,135.5269704,34.61874928,https://kaneko-geka.com/,接種券が届いている方のみ予約受付中,1,,03予約可能,
医療法人太子会　おおしろクリニック,大阪市東住吉区鷹合1-17-30,06-6608-0046,,1,1,,診療時間内,,1,1,1,12歳,135.52901,34.61461863,https://www.oshiro-clinic.net/,,1,,02若干空き有り,
医療法人銀嶺会　土田クリニック,大阪市住吉区我孫子西2-2-20,06-6608-0119,,1,1,①月・火・木・金 ②水,①10:00～19:00 ②10:00～16:00,接種時、高校生は保護者同伴にて,1,1,,,135.506275,34.60219539,https://clinic.ginreikai.jp/clinic/index.html,,1,,,
医療法人　辻整形外科,大阪市住吉区苅田5-6-11,,,,,,,前回当院で1回目2回目の接種患者さんのみ,,1,,,135.5164384,34.59962252,http://www.tsuji-seikei.jp/,,1,,,
高岡クリニック,大阪市住吉区大領4-2-10　エトワールホダカ1階,06-6608-2400,,,1,月・火・木・金・土,9:00～12:00,,1,1,,,135.5081782,34.61283129,https://www.takaoka-clinic-sumiyoshi.com/,,1,,02若干空き有り,
医療法人　島村診療所,大阪市此花区春日出北2-18-5,06-4804-3173,,,1,月・火・水・金・土,9:00～12:00,,,1,1,,135.4484374,34.68336205,http://www.konohana-med.or.jp/k01shimamura/411/,,1,,,
医療法人上野会　上野会クリニック,大阪市住吉区長居東4-21-26,06-6609-1650,,,1,,,,,1,1,12歳,135.5128345,34.60732098,https://uenoclinic.com/,,1,,,
山本医院,大阪市住吉区南住吉2-2-4,06-6609-5557,,,1,月,12:30～13:00,,,1,1,,135.5068448,34.60820618,,,1,,,
医療法人惠晴会　わたべクリニック,大阪市住吉区万代東1-4-12,06-6609-6633,,,1,火,13:00～13:30,,,1,,,135.5063722,34.62051522,https://www.watabe-clinic.jp/,,1,,,
にしじま内科・小児科,大阪市住吉区苅田1-1-14,06-6609-8181,,,1,火～金,9:30～11:15,住吉区・東住吉区在住の方優先,,1,,12歳,135.5225949,34.60539143,,,1,,01予約不可能,
新居内科,大阪市住吉区遠里小野1-10-24,06-6609-8230,,1,1,,,,,1,1,12歳,135.497794,34.6002904,http://www.netwave.or.jp/~nii-h/,,1,,,
ファミリークリニックうえだ,大阪市住吉区苅田5-19-19　あびこ駅前クリニックモール102,,1,,,,,,,1,,12歳,135.5130706,34.59985155,http://www.familyclinic-ueda.com/,,1,,,
田口診療所,大阪市平野区平野本町1-14-13,06-6796-3737,,1,1,,,,,1,1,12歳,135.5491919,34.62365965,,,1,,,
医療法人佳和会　整形外科にしのクリニック,大阪市住之江区南港中2丁目1番99号南港ポートタウン管理センター1階,06-6613-6767,,1,,①月・火・水・金 ②木・土,①9:00～12:30 16:30～19:30 ②9:00～12:30,3回目予約時、1、2回目の接種済証を持参ください。,1,1,1,12歳,135.4275535,34.63133661,,,1,,,
医療法人慈心会　咲洲病院,大阪市住之江区南港中2-1-30,070-5343-0172,,,1,月～土,13:00～15:00,予約は1/11～。接種日は火・水・金の午後,1,1,,16歳,135.4305372,34.62983914,http://www.jishin-kai.or.jp/sakishima/,,1,,,
北大阪医療生活協同組合十三病院,大阪市淀川区木川西3-4-15,,,1,,月～土,9:00～17:00,かかりつけの親族、近隣の方受入可,,1,1,12歳,135.4862243,34.72592565,https://www.kitaiseikyo.com/hospital/juso/,,1,,03予約可能,
医療法人中川会　なかがわクリニック,大阪市住吉区我孫子東2-3-2,06-6616-7765,,1,1,,,,,1,,16歳,135.5121559,34.60092015,http://clinic-nakagawa.jp/,,1,,,
黒岡医院,大阪市住之江区南加賀屋2-2-35,06-6616-7808,,1,1,①月・火・木・金 ②土,①10:00～12:30　17:00～19:00 ②10:00～12:30,,1,1,1,16歳,135.4744965,34.60883236,https://kurooka.jp/,接種日　１月２３日（日）　午前中,1,,03予約可能,
西村診療所,大阪市東住吉区山坂2-4-4,06-6621-2363,,1,1,月・木・金,13:00～17:00,かかりつけの親族受入可,,1,,,135.521416,34.62530039,,,1,,,
医療法人健成会　なりたクリニック,大阪市城東区今福東1-14-11,06-6932-2411,,,1,①月・火・木・金 ②水・土,①9:00～12:00　15:30～19:00 ②9:00～12:00,,,1,,12歳,135.5599189,34.70166417,http://www.jotoishikai.or.jp/a078/,,1,,,
医療法人　池田医院,大阪市阿倍野区昭和町5丁目11番1号,06-6621-3453,,,1,月・火・水・金,13:00～17:00,かかりつけの親族、近隣の方は受入可,,1,,12歳,135.5154691,34.62222274,http://www.abeno-med.or.jp/abeno/infomed/ikeda.html,,1,,,
医療法人清雄会　竹林医院,大阪市阿倍野区阿倍野筋2-4-1,06-6621-5506,,,1,診療時間内,10:00～12:00 16:00～18:00,,,1,,12歳,135.513196,34.6438436,https://website2.infomity.net/8030227/,,1,,,
辻野診療所,大阪市阿倍野区阪南町3-32-8,06-6621-9053,,1,1,,,,,1,1,12歳,135.5130155,34.62779491,http://www.abeno-med.or.jp/abeno/infomed/tsujino.html,,1,,,
医療法人　藤本医院,大阪市淀川区三津屋南2-17-12,06-6306-1810,,1,1,①月・火・水・金 ②木・土,①9:00～12:30 17:00～19:00 ②9:00～12:30,,1,1,1,12歳,135.470913,34.72556825,https://fujimoto-iin.com/,,1,,,
新宅医院,大阪市阿倍野区阿倍野筋5-9-26,06-6622-0178 ,,,1,,,,,1,,12歳,135.510599,34.63729595,http://www.abeno-med.or.jp/abeno/infomed/shintaku.html,,1,,,
医療法人玄竜会　田辺駅前クリニック,大阪市東住吉区北田辺6-16-30,06-6622-0700,,1,1,,診療時間内,,,1,1,12歳,135.5257469,34.628395,https://genryuukai.com/tanabeekimae-cl/,,1,,,
千日前水田内科,大阪市中央区難波千日前4-21 MCビル1階,06-6644-5866,,1,1,,,,1,1,1,12歳,135.5040741,34.66437191,http://www.mizuta-naika.com/,,1,,,
医療法人　二村耳鼻咽喉科ボイスクリニック,大阪市阿倍野区昭和町5-12-16　グレースコートシーダーバレーⅢ2階,080-1483-3233,,1,1,①月・火・水・金 ②土,①9:00～12:00 17:00～19:00 ②9:00～12:00,,,1,,16歳,135.516085,34.62160708,https://nimura-ent.com/,,1,,02若干空き有り,
医療法人　平山診療所,大阪市阿倍野区昭和町3-10-20,06-6622-3102,,,1,月・火・木・金・土,9:00～12:00,,,1,,12歳,135.5180165,34.62652194,https://www.hirayama-clinic.jp/,,1,,,
小松原千鶴子診療所,大阪市住吉区長峡町6-7　住吉公園パインクレスト1階,06-6671-1160,,,1,,,,,1,1,16歳,135.4908499,34.61150442,,,1,,,
小松クリニック,大阪市阿倍野区王子町1-10-2,06-6622-3258,,,1,,9:00～12:00,,1,1,1,16歳,135.511759,34.63394344,http://www.abeno-med.or.jp/abeno/infomed/komatsu.html,,1,,,
医療法人俊徳会　整形外科みなとクリニック,大阪市阿倍野区阿倍野元町2-10,06-6622-3710,,1,1,,,,,1,,12歳,135.5098043,34.63426987,http://www.abeno-med.or.jp/abeno/infomed/minato.html,,1,,,
医療法人　武知小児科・内科,大阪市東住吉区鷹合2-17-4,06-6691-9471,,,1,,,,,1,1,12歳,135.5321994,34.61634055,https://www.takechi.info/,,1,,,
岡医院,大阪市阿倍野区阪南町3-41-5,,,,,,,,,1,,12歳,135.5130783,34.62700408,http://www.abeno-med.or.jp/abeno/infomed/oka.html,,1,,,
康クリニック,大阪市阿倍野区阪南町3-10-3　グレースコートシーダーバレーⅡ　1階,06-6622-6123,,,1,月・火・木・金,9:30～12:30,,,1,,16歳,135.5160777,34.62927713,http://www.kou-clinic.jp/,,1,,,
医療法人紫峰会　伊賀医院,大阪市阿倍野区松崎町3-15-14　ジョイテル阿倍野1階,06-6624-2466,,1,1,,,,,1,,16歳,135.5161232,34.63997775,http://www.abeno-med.or.jp/abeno/infomed/iga.html,,1,,,
やはた内科クリニック,大阪市阿倍野区昭和町1-3-29-1階,06-6624-3700,,,1,月・火・水・金,12:30～13:00,,,1,,,135.5175409,34.635491,https://yahata-clinic.com/,,1,,01予約不可能,
すが内科クリニック,大阪市阿倍野区帝塚山1-6-27　ルドウ・レスパスM36,06-6625-0222,,1,1,月・火・木・金,8:50～12:10,,,1,1,16歳,135.5039513,34.62363014,https://suga-naika.com/,,1,,03予約可能,
医療法人明絢会　スズキ診療所,大阪市阿倍野区播磨町1-20-23　日商岩井帝塚山マンション102号,06-6625-0261,,1,1,,10:00～12:00,,,1,1,12歳,135.50805,34.62239574,http://www.abeno-med.or.jp/abeno/infomed/suzukishin.html,,1,,,
すずかけの木クリニック,大阪市阿倍野区松崎町2-3-37　松崎グリーンハイツ104,050-5305-5407,,,1,,,,1,,1,12歳,135.5141916,34.64349176,https://suzukakenoki.com/,,1,,,
うさみクリニック,大阪市阿倍野区播磨町1-19-9,06-6626-6533,,,1,,,,1,1,1,12歳,135.5081596,34.62270228,http://www.usami-clinic.jp/,,1,,,
医療法人創和会　そうわ内科クリニック,大阪市浪速区浪速東3-9-1,06-6626-9939,,,1,,,,1,,1,12歳,135.4901282,34.6557327,http://souwa-naika.com/,,1,,,
髙島内科クリニック,大阪市阿倍野区美章園3-3-2　高島ビル1階,06-6627-0005,,1,1,①月・火・水・金 ②木・土,①9:00～12:00 17:00～19:00 ②9:00～12:00,,,1,,12歳,135.5228162,34.63810995,http://www.takashimaclinic.com/,,1,,,
いたがね整形外科,大阪市阿倍野区播磨町1-20-19,06-6627-1010,,,1,,診療時間内,12歳～15歳の方は3回目接種のみ対応可,,1,,12歳,135.5077213,34.62258824,https://www.itaganemed.com/,,1,,,
なかのクリニック,大阪市平野区背戸口5-5-6,,,1,,月・火・木・金,9:00～12:00,,,1,1,12歳,135.5472679,34.62173172,https://www.hirano-med.net/search/detail_34.html,,1,,,
赤松内科クリニック,大阪市西成区玉出西2-4-8,070-8377-0757,1,,1,①月・火・水・金 ②木・土,①9:00～16:00 ②9:00～12:00,かかりつけ親族、近隣の方受入可。WEB予約は当院HP参照,,1,1,12歳,135.4903982,34.62429802,http://www.akamatsu-naika.com/,,1,,01予約不可能,
ゆうゆうクリニック,大阪市阿倍野区松崎町4-5-37　スクエアビル1階,06-6627-9978,,,1,,診療時間内,,1,,1,12歳,135.5157795,34.63988764,http://www.yuyu-clinic.com/,詳細は当院ホームページをご確認ください。,1,,03予約可能,
阿部クリニック,大阪市阿倍野区松崎町2-1-45　日世ハイツ1階,06-6628-0870,,,1,①月・水・金 ②火・木・土,①9:00～12:00 17:00～19:00 ②9:00～12:00,,,1,,12歳,135.5187402,34.64365051,http://www.abeno-med.or.jp/abeno/infomed/abe.html,,1,,,
医療法人恵登久会　越川病院,大阪市阿倍野区昭和町4-9-1,06-6628-8501,,1,1,月～金,13:00～16:00,,,1,1,12歳,135.5160739,34.62515676,http://www.koshikawa-hospital.or.jp/,,1,,,
医療法人　河島医院,大阪市阿倍野区昭和町2-1-24,06-6629-2110,,,1,月・火・木・金・土,10:00～12:00,,,1,,,135.5169733,34.63232344,https://kawashima-cl.jp/,,1,,,
やぶのクリニック,大阪市阿倍野区阪南町1-50-20　プレステル阪南1階,06-6629-3061,,1,1,,,,,1,,12歳,135.5157291,34.63329454,http://www.abeno-med.or.jp/abeno/infomed/yabuno.html,,1,,,
医療法人　河診療所,大阪市阿倍野区昭和町5-11-13,06-6629-6161,,,1,月～土,9:00～12:00,,,1,1,12歳,135.5165129,34.62187275,http://www.abeno-med.or.jp/abeno/infomed/kawa.html,,1,,,
ひかりクリニックシノハラ,大阪市浪速区大国3-8-18　光ビル2階,06-6630-2300,,,1,①月・火・木・金 ②日・祝,①9:00～12:30 ②9:00～11:30,,1,,,12歳,135.4932345,34.65512135,http://www.naniwaku-ishikai.or.jp/clinic/hikariclinicshinohara.html,,1,,,
医療法人佐伯会　恵美須東クリニック,大阪市浪速区恵美須東1-7-13,06-6630-5665,,1,1,,,,,1,,,135.5067372,34.65356654,http://www.naniwaku-ishikai.or.jp/clinic/ebisuhigasiclinic.html,,1,,,
医療法人薫風会　落合耳鼻咽喉科,大阪市浪速区恵美須西1-3-21,06-6631-0584,,,1,,12:00～13:00,原則、かかりつけ患者,,1,,,135.5037353,34.65484295,https://ochiai-jibika-clinic.com/,,1,,,
サンクリニック,大阪市西成区萩之茶屋2-5-1,06-6631-1010,,1,1,,,,,1,,,135.5016479,34.64657433,,,1,,,
医療法人　木下医院,大阪市浪速区日本橋5-4-5,06-6631-1078,,,1,月・火・水・金・土,9:30～12:00,,,1,1,12歳,135.5065414,34.65587038,https://www.kinoshita-clinic.info/,,1,,,
倉知内科,大阪市西成区花園北2-13-7,,,1,,,,,,1,,16歳,135.4984873,34.64443689,https://www.kurachi-iin.jp/,,1,,,
